COLUMNA_REAL,COLUMNA_NORMALIZADA,TOTAL_FILAS,NO_VACIOS,VACIOS,PORCENTAJE_COMPLETITUD,VALORES_UNICOS,EJEMPLOS,CONTIENE_MARCAS_TECNICAS,HOJA_BASE,CAMPO_MANUAL_MAPEADO,METODO_MAPEO,SCORE_MAPEO,ESTADO_FUENTE_MANUAL,RECLASIFICACION_HITO7BIS
Área del Conocimiento,AREA_DEL_CONOCIMIENTO,71,71,0,100.0,9,REVISAR_AREA_CODIGO_8 | REVISAR_AREA_CODIGO_6 | REVISAR_AREA_CODIGO_9 | REVISAR_AREA_CODIGO_1 | REVISAR_AREA_CODIGO_10 | REVISAR_AREA_SIN_FUENTE_DIRECTA | REVISAR_AREA_CONOCIMIENTO_10 | REVISAR_AREA_CODIGO_7,True,CANDIDATO_CARGA_LIMPIO,"Área, Subárea, Carrera genérica",EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Sub Área,SUB_AREA,71,71,0,100.0,1,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,True,CANDIDATO_CARGA_LIMPIO,"Área, Subárea, Carrera genérica",CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Carrera Genérica,CARRERA_GENERICA,71,71,0,100.0,1,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,True,CANDIDATO_CARGA_LIMPIO,"Área, Subárea, Carrera genérica",CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Título que otorga el programa,TITULO_QUE_OTORGA_EL_PROGRAMA,71,71,0,100.0,47,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERO EN FINANZAS | INGENIERO EN MARKETING DIGITAL,True,CANDIDATO_CARGA_LIMPIO,Título,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Grado Académico que otorga el programa,GRADO_ACADEMICO_QUE_OTORGA_EL_PROGRAMA,71,71,0,100.0,1,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,True,CANDIDATO_CARGA_LIMPIO,Grado académico,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Dependencia,DEPENDENCIA,71,71,0,100.0,1,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,True,CANDIDATO_CARGA_LIMPIO,Dependencia,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Régimen,REGIMEN,71,71,0,100.0,4,REVISAR_REGIMEN_CODIGO_1 | REVISAR_REGIMEN_CODIGO_2 | REVISAR_REGIMEN_SIN_FUENTE | REVISAR_REGIMEN_MATCH_AMBIGUO,True,CANDIDATO_CARGA_LIMPIO,Tipo Régimen,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
Duración del programa en Semestres,DURACION_DEL_PROGRAMA_EN_SEMESTRES,71,71,0,100.0,6,1 | 5 | 8 | 4 | 6 | 2,False,CANDIDATO_CARGA_LIMPIO,Duración,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Ingreso Directo,INGRESO_DIRECTO,71,71,0,100.0,6,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2 | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_1 | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5 | REVISAR_INGRESO_DIRECTO_SIN_FUENTE_DIRECTA | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_4 | REVISAR_INGRESO_DIRECTO_MATCH_AMBIGUO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
Ingreso desde un plan Común,INGRESO_DESDE_UN_PLAN_COMUN,71,71,0,100.0,1,NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
Ingreso desde Bachillerato,INGRESO_DESDE_BACHILLERATO,71,71,0,100.0,1,NO_APLICA_SIN_EVIDENCIA_BACHILLERATO,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
Otro Tipo de Ingreso,OTRO_TIPO_DE_INGRESO,71,71,0,100.0,5,REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2 | NO_APLICA_SIN_EVIDENCIA_OTRO_INGRESO | REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5 | REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_4 | REVISAR_OTRO_TIPO_INGRESO_MATCH_AMBIGUO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
Ingreso otro,INGRESO_OTRO,71,71,0,100.0,3,REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE | NO APLICA | REVISAR_DESCRIPCION_OTRO_INGRESO_MATCH_AMBIGUO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
Observaciones,OBSERVACIONES,71,71,0,100.0,3,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica. | Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica; Requiere revisión por match no directo/ambiguo; no completar campos críticos por inferencia. | Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica; Revisión por alternativa estructural no exacta: I162S2C6J4V2.,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
ANIO_INICIO,ANIO_INICIO,71,71,0,100.0,11,2025 | 2013 | 2026 | REVISAR_ANIO_INICIO_SIN_FUENTE | 1992 | 2019 | CONFLICTO_REVISAR_ANIO_INICIO_MATCH_AMBIGUO | 2017,True,CANDIDATO_CARGA_LIMPIO,Año de Inicio de actividades,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
REGIMEN,REGIMEN,71,71,0,100.0,4,1 | 2 | REVISAR_REGIMEN_SIN_FUENTE | CONFLICTO_REVISAR_REGIMEN_MATCH_AMBIGUO,True,CANDIDATO_CARGA_LIMPIO,Tipo Régimen,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
DURACION_REGIMEN,DURACION_REGIMEN,71,71,0,100.0,9,1 | 5 | 7 | 12 | 6 | REVISAR_DURACION_REGIMEN_SIN_FUENTE | 4 | CONFLICTO_REVISAR_DURACION_REGIMEN_MATCH_AMBIGUO,True,CANDIDATO_CARGA_LIMPIO,Duración régimen,EXACTO_NORMALIZADO,1.0,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL
NOMBRE_TITULO,NOMBRE_TITULO,71,71,0,100.0,47,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERO EN FINANZAS | INGENIERO EN MARKETING DIGITAL,True,CANDIDATO_CARGA_LIMPIO,Título,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
ACREDITACION,ACREDITACION,71,71,0,100.0,3,2 | REVISAR_ACREDITACION_SIN_FUENTE | CONFLICTO_REVISAR_ACREDITACION_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,ACREDITACION,EQUIVALENCIA_EXPLICITA_NO_CONFIRMADA,0.75,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL
REQUISITO_INGRESO,REQUISITO_INGRESO,71,71,0,100.0,4,2 | 1 | REVISAR_REQUISITO_INGRESO_SIN_FUENTE | CONFLICTO_REVISAR_REQUISITO_INGRESO_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,Requisito ingreso,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
SEMESTRES_RECONOCIDOS,SEMESTRES_RECONOCIDOS,71,71,0,100.0,5,0 | 5 | REVISAR_SEMESTRES_RECONOCIDOS_SIN_FUENTE | 4 | CONFLICTO_REVISAR_SEMESTRES_RECONOCIDOS_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,SEMESTRES_RECONOCIDOS,EQUIVALENCIA_EXPLICITA_NO_CONFIRMADA,0.75,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL
AREA_ACTUAL,AREA_ACTUAL,71,71,0,100.0,9,8 | 6 | 9 | 1 | 10 | REVISAR_AREA_ACTUAL_SIN_FUENTE | CONFLICTO_REVISAR_AREA_ACTUAL_MATCH_NO_UNICO | 7,True,CANDIDATO_CARGA_LIMPIO,Área actual,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
AREA_ADMIN_DERECHO,AREA_ADMIN_DERECHO,71,71,0,100.0,4,0 | 1 | REVISAR_AREA_ADMIN_DERECHO_SIN_FUENTE | CONFLICTO_REVISAR_AREA_ADMIN_DERECHO_MATCH_NO_UNICO,True,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
