CODIGO_IES_NUM,CODIGO_UNICO,CODIGO_CARRERA,NOMBRE_IES,COD_SEDE,NOMBRE_SEDE,NOMBRE_CARRERA,MODALIDAD,JORNADA,TIPO_PLAN_CARRERA,CARACT_PLAN_ESPECIAL,DURACION_ESTUDIOS,DURACION_TITULACION,DURACION_TOTAL,COMUNA_SEDE,PROVINCIA_SEDE,REGION_SEDE,NIVEL_GLOBAL,NIVEL_CARRERA,VIGENCIA,CODCARPR_CANONICO,CODCARPR_ALIAS_LIST,REGLA_DESAMBIGUACION,FUENTE_GOBERNANZA,ESTADO_REGISTRO,CODCARPR_RESOLUCION_ESTADO,CANDIDATO,PLAN_DE_ESTUDIO_ICRE068,COMPATIBILIDAD_ICRE068
162,I162S2C3J2V1,3,IP SAN SEBASTIAN,2,CASA CENTRAL (SANTIAGO),INGENIERIA EN CONECTIVIDAD Y REDES,1,2,1,NO APLICA,8,0,8,SANTIAGO,SANTIAGO,Metropolitana,1,2,1,,ICRE|NAN|NCONRE|NETMRE|NITMRE,MATRIZ_VIGENTE_O_REVISION_MANUAL,AUTO_ALIAS_SIN_MATCH,ACTIVO,AMBIGUO,I162S2C3J2V1,ICRE20241,DESCARTADO_CUBIERTO_POR_VERSION_POSTERIOR_CNED
162,I162S2C3J2V4,3,IP SAN SEBASTIAN,2,CASA CENTRAL (SANTIAGO),INGENIERIA EN CONECTIVIDAD Y REDES,1,2,1,NO APLICA,8,0,8,SANTIAGO,SANTIAGO,Metropolitana,1,2,1,,ICRE|NAN|NCONRE|NETMRE|NITMRE,MATRIZ_VIGENTE_O_REVISION_MANUAL,AUTO_ALIAS_SIN_MATCH,ACTIVO,AMBIGUO,I162S2C3J2V4,ICRE20241,SELECCIONADO_POR_EVIDENCIA_CNED
