CODCLI,CODCARPR_NORM,NOMBRE_CARRERA_FUENTE,JORNADA_FUENTE,MODALIDAD_x,JOR,VERSION,CODIGO_CARRERA_SIES_FINAL,SIES_RESOLUCION_HEURISTICA,SIES_CONFIANZA_POST,DURACION_ESTUDIOS_REF,ESTADO_CARGA_PREGRADO,CODIGOS_SIES_POTENCIALES,SIES_MATCH_DIAG,COD_CAR_FINAL_SIES,CODIGO_UNICO,COD_CAR,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,MODALIDAD_y,JORNADA,tp_esperado_src,tp_match
20251TCIB051,TCIB,TECNICO EN CIBERSEGURIDAD,D,1,1,1,I162S2C47J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C47J1V1 | I162S2C47J2V1,MATCH_SIES_AMBIGUO,47,,,,,,,1,False
20251TENS017,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91,,,,,,,1,False
20241TPAS067,TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,1,1,1,I162S2C57J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C57J1V1 | I162S2C57J2V1,MATCH_SIES_AMBIGUO,57,,,,,,,1,False
20251TENS052,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91,,,,,,,1,False
20251TPAS087,TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,1,1,1,I162S2C57J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C57J1V1 | I162S2C57J2V1,MATCH_SIES_AMBIGUO,57,,,,,,,1,False
20251TENS119,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91,,,,,,,1,False
20251TENS011,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91,,,,,,,1,False
20211IETMREOL034,IETMREOL,INGENIERIA EN CONECTIVIDAD Y REDES,O,3,4,,,PENDIENTE_GOBERNANZA,0%,,EXCLUIDO_SIN_MATCH_SIES,I162S2C3J4V1 | I162S2C3J4V2,MATCH_SIES_AMBIGUO,,,,,,,,1,False
20251TENS052,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91,,,,,,,1,False
20251TCIB042,TCIB,TECNICO EN CIBERSEGURIDAD,D,1,1,1,I162S2C47J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C47J1V1 | I162S2C47J2V1,MATCH_SIES_AMBIGUO,47,,,,,,,1,False
20251TPAS104,TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,1,1,1,I162S2C57J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C57J1V1 | I162S2C57J2V1,MATCH_SIES_AMBIGUO,57,,,,,,,1,False
