CODIGO_UNICO,NOMBRE_CARRERA,COD_SEDE,COD_CARRERA,JORNADA,VERSION,MATCH_STATUS_FINAL,MATCH_METHOD_FINAL,MATCH_COUNT_FINAL,MATCH_CODIGO_UNICO_DERIVADO,MATCH_FUENTE,MATCH_OBSERVACION,PUEDE_COMPLETAR_ANIO_INICIO,FUENTE_ANIO_INICIO,VALOR_ANIO_INICIO,PUEDE_COMPLETAR_REGIMEN,FUENTE_REGIMEN,VALOR_REGIMEN,PUEDE_COMPLETAR_DURACION_REGIMEN,FUENTE_DURACION_REGIMEN,VALOR_DURACION_REGIMEN,PUEDE_COMPLETAR_NOMBRE_TITULO,FUENTE_NOMBRE_TITULO,VALOR_NOMBRE_TITULO,PUEDE_COMPLETAR_AREA_ACTUAL,FUENTE_AREA_ACTUAL,VALOR_AREA_ACTUAL,PUEDE_COMPLETAR_SUB_AREA,FUENTE_SUB_AREA,VALOR_SUB_AREA,PUEDE_COMPLETAR_CARRERA_GENERICA,FUENTE_CARRERA_GENERICA,VALOR_CARRERA_GENERICA,PUEDE_COMPLETAR_REQUISITO_INGRESO,FUENTE_REQUISITO_INGRESO,VALOR_REQUISITO_INGRESO,CAMPOS_AUTO_COMPLETABLES,CAMPOS_NO_AUTO,CAMPOS_SIN_FUENTE,CAMPOS_CON_CONFLICTO,DICTAMEN_METODOLOGICO
I162S2C112J4V2,INGENIERIA EN MARKETING DIGITAL,2,112,4,2,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C112J4V2,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,6,AUTO_COMPLETABLE,DICCIONARIO,INGENIERO EN MARKETING DIGITAL,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C113J4V1,INGENIERIA EN RECURSOS HUMANOS,2,113,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C113J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,12,AUTO_COMPLETABLE,DICCIONARIO,INGENIERO EN RECURSOS HUMANOS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C113J4V2,INGENIERIA EN RECURSOS HUMANOS,2,113,4,2,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C113J4V2,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,6,AUTO_COMPLETABLE,DICCIONARIO,INGENIERO EN RECURSOS HUMANOS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C114J2V1,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,2,114,2,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C114J2V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,7,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,8,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C115J2V1,TECNICO EN FARMACIA,2,115,2,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C115J2V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,7,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN FARMACIA,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,8,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C116J4V1,TECNICO EN FINANZAS,2,116,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C116J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,7,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN FINANZAS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C117J4V1,TECNICO EN INFRAESTRUCTURA CLOUD,2,117,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C117J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,7,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN INFRAESTRUCTIRA CLOUD,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,10,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C118J4V1,TECNICO EN MARKETING DIGITAL,2,118,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C118J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,7,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN MARKETING DIGITAL,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C119J4V1,TECNICO EN RECURSOS HUMANOS,2,119,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C119J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,7,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN RECURSOS HUMANOS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C124J4V1,INGENIERIA EN PREVENCION DE RIESGOS,2,124,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C124J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,12,AUTO_COMPLETABLE,DICCIONARIO,INGENIERO EN PREVENCION DE RIESGOS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,9,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
