severidad;codigo;fila_excel;cod_sede;cod_carrera;nombre_carrera;campo;valor;mensaje
BLOQUEANTE;VACANTES_2SEM;67;2;115;TECNICO EN FARMACIA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;68;2;124;INGENIERIA EN PREVENCION DE RIESGOS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;71;2;116;TECNICO EN FINANZAS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;73;2;90;NATUROPATIA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;77;3;115;TECNICO EN FARMACIA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;79;2;10;TECNICO EN PREVENCION DE RIESGOS;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;80;3;91;TECNICO EN ENFERMERIA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;81;2;117;TECNICO EN INFRAESTRUCTURA CLOUD;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;85;2;83;ADMINISTRACION PUBLICA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
BLOQUEANTE;VACANTES_2SEM;86;2;125;INGENIERIA EN SEGURIDAD PRIVADA;VACANTES_SEGUNDO_SEMESTRE;0;Con VIGENCIA_CARRERA=1, VACANTES_SEGUNDO_SEMESTRE no puede ser 0 ni vacío.
