CODCARPR,TIPO_CARRERA,JORNADA_MAT,VERSION,CODIGO_SIES_FINAL,CONFIANZA,NOTAS,CODIGO_UNICO,NOMBRE_CARRERA,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,DURACION_TOTAL,MODALIDAD,JORNADA_OF,COD_SEDE,NOMBRE_SEDE,VIGENCIA,tp_esperado_src,tp_match,jornada_da_num,jornada_consistente
CONG,CONTABILIDAD GENERAL,O,V1,I162S2C85J4V1,95%,Mapeo online,I162S2C85J4V1,CONTABILIDAD GENERAL,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,3,False,4,True
COTEIQ,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,V,V1,I162S2C114J2V1,100%,Mapeo oficial,I162S2C114J2V1,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,3,False,2,True
COTENS,TECNICO EN ENFERMERIA,D,V1,I162S2C91J1V1,100%,Mapeo oficial,I162S2C91J1V1,TECNICO EN ENFERMERIA,1,5,5,1,1,2,CASA CENTRAL (SANTIAGO),1,3,False,1,True
COTENS,TECNICO EN ENFERMERIA,V,V1,I162S2C91J2V1,100%,Mapeo oficial,I162S2C91J2V1,TECNICO EN ENFERMERIA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,3,False,2,True
COTFAR,TECNICO EN FARMACIA,V,V1,I162S2C115J2V1,100%,Mapeo oficial,I162S2C115J2V1,TECNICO EN FARMACIA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,3,False,2,True
DACD,DIPLOMADO EN ARQUITECTURA CLOUD,O,V1,I162S2C63J4V1,95%,Mapeo online,I162S2C63J4V1,DIPLOMADO EN ARQUITECTURA CLOUD,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DCBS,DIPLOMADO EN CIBERSEGURIDAD,O,V1,I162S2C53J3V1,95%,Mapeo online,I162S2C53J3V1,DIPLOMADO EN CIBERSEGURIDAD APLICADA,1,1,1,2,3,2,CASA CENTRAL (SANTIAGO),1,1,True,4,False
DDSC,DIPLOMADO EN DATA SCIENCE,O,V1,I162S2C97J4V1,95%,Mapeo online,I162S2C97J4V1,DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DFSK,DIPLOMADO EN FULLSTACK,O,V1,I162S2C66J4V1,95%,Mapeo online,I162S2C66J4V1,DIPLOMADO EN FULLSTACK,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
DGDA,DIPLOMADO EN GOBERNANZA DE DATOS,O,V1,I162S2C96J4V1,95%,Mapeo online,I162S2C96J4V1,DIPLOMADO EN GOBERNANZA DE DATOS,1,1,1,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
