CODCARPR,TIPO_CARRERA,JORNADA_MAT,VERSION,CODIGO_SIES_FINAL,CONFIANZA,NOTAS,CODIGO_UNICO,NOMBRE_CARRERA,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,DURACION_TOTAL,MODALIDAD,JORNADA_OF,COD_SEDE,NOMBRE_SEDE,VIGENCIA,tp_esperado_src,tp_match,jornada_da_num,jornada_consistente
IPRE,INGENIERIA EN PREVENCION DE RIESGOS,O,V1,I162S2C124J4V1,95%,Mapeo online,I162S2C124J4V1,INGENIERIA EN PREVENCION DE RIESGOS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IPRE,INGENIERIA EN PREVENCION DE RIESGOS,O,V2,I162S2C124J4V2,95%,Mapeo online,I162S2C124J4V2,INGENIERIA EN PREVENCION DE RIESGOS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
IRHU,INGENIERIA EN RECURSOS HUMANOS,O,V1,I162S2C113J4V1,95%,Mapeo online,I162S2C113J4V1,INGENIERIA EN RECURSOS HUMANOS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
IRHU,INGENIERIA EN RECURSOS HUMANOS,O,V2,I162S2C113J4V2,95%,Mapeo online,I162S2C113J4V2,INGENIERIA EN RECURSOS HUMANOS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
ISEP,INGENIERIA EN SEGURIDAD PRIVADA,O,V1,I162S2C125J4V1,95%,Mapeo online,I162S2C125J4V1,INGENIERIA EN SEGURIDAD PRIVADA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
ISEP,INGENIERIA EN SEGURIDAD PRIVADA,O,V2,I162S2C125J4V2,95%,Mapeo online,I162S2C125J4V2,INGENIERIA EN SEGURIDAD PRIVADA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
NATP,NATUROPATIA,V,V1,I162S2C90J2V1,100%,Mapeo oficial,I162S2C90J2V1,NATUROPATIA,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,1,False,2,True
NATP,NATUROPATIA,V,V2,I162S2C90J2V2,100%,Mapeo oficial,I162S2C90J2V2,NATUROPATIA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
NETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V1,I162S2C3J1V1,100%,Mapeo oficial,I162S2C3J1V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
NETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V2,I162S2C3J1V2,100%,Mapeo oficial,I162S2C3J1V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
NETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,O,V1,I162S2C3J4V1,95%,Mapeo online,I162S2C3J4V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
NETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,O,V2,I162S2C3J4V2,95%,Mapeo online,I162S2C3J4V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
NETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V1,I162S2C3J2V1,100%,Mapeo oficial,I162S2C3J2V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
NETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V4,I162S2C3J2V4,100%,Mapeo oficial,I162S2C3J2V4,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
NITMRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V1,I162S2C3J1V1,100%,Mapeo oficial,I162S2C3J1V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
NITMRE,INGENIERIA EN CONECTIVIDAD Y REDES,D,V2,I162S2C3J1V2,100%,Mapeo oficial,I162S2C3J1V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
NITMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V1,I162S2C3J2V1,100%,Mapeo oficial,I162S2C3J2V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
NITMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,V4,I162S2C3J2V4,100%,Mapeo oficial,I162S2C3J2V4,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TACI,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,V,V1,I162S2C11J2V1,100%,Mapeo oficial,I162S2C11J2V1,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TADP,TECNICO EN ADMINISTRACION PUBLICA,O,V1,I162S2C84J4V1,95%,Mapeo online,I162S2C84J4V1,TECNICO EN ADMINISTRACION PUBLICA,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TAMD,TECNICO EN ADMINISTRACION DE EMPRESAS,D,V1,I162S2C78J1V1,100%,Mapeo oficial,I162S2C78J1V1,TECNICO EN ADMINISTRACION DE EMPRESAS,1,5,5,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
TAMD,TECNICO EN ADMINISTRACION DE EMPRESAS,O,V1,I162S2C78J4V1,95%,Mapeo online,I162S2C78J4V1,TECNICO EN ADMINISTRACION DE EMPRESAS,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TAMD,TECNICO EN ADMINISTRACION DE EMPRESAS,V,V1,I162S2C78J2V1,100%,Mapeo oficial,I162S2C78J2V1,TECNICO EN ADMINISTRACION DE EMPRESAS,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TCDA,TECNICO EN CIENCIA DE DATOS,O,V1,I162S2C89J4V1,95%,Mapeo online,I162S2C89J4V1,TECNICO EN CIENCIA DE DATOS,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TCIB,TECNICO EN CIBERSEGURIDAD,D,V1,I162S2C47J2V1,100%,Mapeo oficial,I162S2C47J2V1,TECNICO EN CIBERSEGURIDAD,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TCIB,TECNICO EN CIBERSEGURIDAD,O,V1,I162S2C47J4V1,95%,Mapeo online,I162S2C47J4V1,TECNICO EN CIBERSEGURIDAD,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TCIB,TECNICO EN CIBERSEGURIDAD,V,V1,I162S2C47J2V1,100%,Mapeo oficial,I162S2C47J2V1,TECNICO EN CIBERSEGURIDAD,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TCRE,TECNICO EN CONECTIVIDAD Y REDES,D,V1,I162S2C6J1V1,100%,Mapeo oficial,I162S2C6J1V1,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
TCRE,TECNICO EN CONECTIVIDAD Y REDES,D,V2,I162S2C6J1V2,100%,Mapeo oficial,I162S2C6J1V2,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
TCRE,TECNICO EN CONECTIVIDAD Y REDES,O,V2,I162S2C6J4V2,95%,Mapeo online,I162S2C6J4V2,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TCRE,TECNICO EN CONECTIVIDAD Y REDES,V,V1,I162S2C6J2V1,100%,Mapeo oficial,I162S2C6J2V1,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TCRE,TECNICO EN CONECTIVIDAD Y REDES,V,V2,I162S2C6J2V2,100%,Mapeo oficial,I162S2C6J2V2,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TCSRE,TECNICO EN CIBERSEGURIDAD,D,V1,I162S2C47J1V1,100%,Mapeo oficial,I162S2C47J1V1,TECNICO EN CIBERSEGURIDAD,1,5,5,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
TCSRE,TECNICO EN CIBERSEGURIDAD,V,V1,I162S2C47J2V1,100%,Mapeo oficial,I162S2C47J2V1,TECNICO EN CIBERSEGURIDAD,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TCSREOL,TECNICO EN CIBERSEGURIDAD,O,V1,I162S2C47J4V1,95%,Mapeo online,I162S2C47J4V1,TECNICO EN CIBERSEGURIDAD,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TEIQ,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,V,V1,I162S2C114J2V1,100%,Mapeo oficial,I162S2C114J2V1,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TENS,TECNICO EN ENFERMERIA,D,V1,I162S2C91J2V1,100%,Mapeo oficial,I162S2C91J2V1,TECNICO EN ENFERMERIA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TENS,TECNICO EN ENFERMERIA,V,V1,I162S2C91J2V1,100%,Mapeo oficial,I162S2C91J2V1,TECNICO EN ENFERMERIA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TFAR,TECNICO EN FARMACIA,V,V1,I162S2C115J2V1,100%,Mapeo oficial,I162S2C115J2V1,TECNICO EN FARMACIA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TFIN,TECNICO EN FINANZAS,O,V1,I162S2C116J4V1,95%,Mapeo online,I162S2C116J4V1,TECNICO EN FINANZAS,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TLOG,TECNICO EN LOGISTICA,D,V1,I162S2C79J1V1,100%,Mapeo oficial,I162S2C79J1V1,TECNICO EN LOGISTICA,1,5,5,1,1,2,CASA CENTRAL (SANTIAGO),1,1,True,1,True
TLOG,TECNICO EN LOGISTICA,O,V1,I162S2C79J4V1,95%,Mapeo online,I162S2C79J4V1,TECNICO EN LOGISTICA,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TLOG,TECNICO EN LOGISTICA,V,V1,I162S2C79J2V1,100%,Mapeo oficial,I162S2C79J2V1,TECNICO EN LOGISTICA,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TMDI,TECNICO EN MARKETING DIGITAL,O,V1,I162S2C118J4V1,95%,Mapeo online,I162S2C118J4V1,TECNICO EN MARKETING DIGITAL,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TMIRE,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,V,V1,I162S2C11J2V1,100%,Mapeo oficial,I162S2C11J2V1,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TPARE,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,V1,I162S2C57J2V1,100%,Mapeo oficial,I162S2C57J2V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TPARE,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,V,V1,I162S2C57J2V1,100%,Mapeo oficial,I162S2C57J2V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TPAREOL,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,O,V1,I162S2C57J4V1,95%,Mapeo online,I162S2C57J4V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,V1,I162S2C57J2V1,100%,Mapeo oficial,I162S2C57J2V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,O,V1,I162S2C57J4V1,95%,Mapeo online,I162S2C57J4V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,V,V1,I162S2C57J2V1,100%,Mapeo oficial,I162S2C57J2V1,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TPCRE,TECNICO EN PROGRAMACION COMPUTACIONAL,O,V1,I162S2C2J4V1,95%,Mapeo online,I162S2C2J4V1,TECNICO EN PROGRAMACION COMPUTACIONAL,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TPCRE,TECNICO EN PROGRAMACION COMPUTACIONAL,O,V2,I162S2C2J4V2,95%,Mapeo online,I162S2C2J4V2,TECNICO EN PROGRAMACION COMPUTACIONAL,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TPRE,TECNICO EN PREVENCION DE RIESGOS,O,V1,I162S2C10J4V1,95%,Mapeo online,I162S2C10J4V1,TECNICO EN PREVENCION DE RIESGOS,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TRHU,TECNICO EN RECURSOS HUMANOS,O,V1,I162S2C119J4V1,95%,Mapeo online,I162S2C119J4V1,TECNICO EN RECURSOS HUMANOS,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TTMRE,TECNICO EN CONECTIVIDAD Y REDES,D,V1,I162S2C6J2V1,100%,Mapeo oficial,I162S2C6J2V1,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TTMRE,TECNICO EN CONECTIVIDAD Y REDES,D,V2,I162S2C6J2V2,100%,Mapeo oficial,I162S2C6J2V2,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,1,False
TTMRE,TECNICO EN CONECTIVIDAD Y REDES,V,V1,I162S2C6J2V1,100%,Mapeo oficial,I162S2C6J2V1,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TTMRE,TECNICO EN CONECTIVIDAD Y REDES,V,V2,I162S2C6J2V2,100%,Mapeo oficial,I162S2C6J2V2,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1,1,True,2,True
TTMREOL,TECNICO EN CONECTIVIDAD Y REDES,O,V1,I162S2C6J4V1,95%,Mapeo online,I162S2C6J4V1,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
TTMREOL,TECNICO EN CONECTIVIDAD Y REDES,O,V2,I162S2C6J4V2,95%,Mapeo online,I162S2C6J4V2,TECNICO EN CONECTIVIDAD Y REDES,1,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
