CODCLI	MOTIVO	ANIO	PERIODO	VIG
20261IADM105	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM109	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM111	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM112	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM113	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM114	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM118	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM121	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM137	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM140	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM144	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IADM148	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICDA010	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICDA017	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICDA023	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICDA029	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICDA033	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICDA043	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB019	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB021	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB034	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB035	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB050	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB072	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB074	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB077	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB087	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB088	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB117	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB125	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB137	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB156	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB157	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB169	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB172	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICIB173	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICRE012	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICRE017	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICRE018	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICRE046	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICRE047	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICRE053	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ICRE066	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN004	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN017	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN024	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN027	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN030	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN033	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN034	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IFIN035	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND002	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND009	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND011	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND015	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND016	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND017	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND019	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND022	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND025	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND028	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND036	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND037	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND038	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND039	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND046	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND052	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND054	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND056	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND070	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND071	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND075	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND077	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND081	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND084	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND087	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND088	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND089	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND094	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND097	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND099	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND100	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND101	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND102	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND105	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND106	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IIND107	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF004	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF018	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF034	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF042	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF051	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF053	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF075	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF080	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF081	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF088	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF089	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF100	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF101	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF117	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF121	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF130	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF131	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF135	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF137	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF138	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF141	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF152	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IINF159	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG004	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG009	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG016	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG017	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG023	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG027	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG036	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG039	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG045	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG046	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG055	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG057	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG060	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG061	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG069	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG076	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG080	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG087	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ILOG099	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI018	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI027	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI035	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI040	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI047	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI054	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI056	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IMDI059	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE001	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE002	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE007	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE021	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE022	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE023	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE027	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE028	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE030	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IPRE035	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU003	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU004	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU019	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU021	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU024	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU027	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU035	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU041	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261IRHU043	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP001	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP002	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP004	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP007	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP010	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP011	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP012	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP016	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP017	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP019	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP021	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ISEP027	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261NATP031	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TADP002	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD005	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD010	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD016	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD022	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD024	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD029	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD030	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD031	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD041	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD042	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD043	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD047	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD048	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD052	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD056	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD060	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD066	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD072	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD079	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD082	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD105	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD106	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD112	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD122	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD123	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD126	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD127	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD133	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD134	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD136	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD140	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD143	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TAMD146	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCDA003	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCDA006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCDA017	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCDA020	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCDA021	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB003	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB018	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB019	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB026	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB027	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB032	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB037	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB052	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB074	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB076	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB091	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB100	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB101	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB107	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCIB112	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCRE001	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261TCRE007	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
