Sede	Comuna	Región	Orden Geográfico de Region	Cod.Carr.	Carrera Genérica	Nombre Programa	Mencion Especialidad	Horario	Tipo Programa	Área Conocimiento	Tipo Carrera	Ingreso Directo	Año Inicio Actividades	Campus	Duracion (en semestres)	Titulo	Grado Academico	Codigo SIES	Nivel Pregrado/Posgrado	Modalidad Programa	Especial	Facultad
Santiago	Santiago	Región Metropolitana	7	43930	Técnico Programador Computacional	TNS en Programación y Análisis de Sistemas		Vespertino	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2020	República	5	Técnico Nivel Sup. en Programación y Análisis de Sistemas		I162S2C57J2V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	43935	Técnico Programador Computacional	TNS en Programación y Análisis de Sistemas		Diurno	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2020	República	5	Técnico Nivel Sup. en Programación y Análisis de Sistemas		I162S2C57J1V1	Pregrado	Presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	40715	Ingeniería en Computación e Informática y similares	Ingeniería en Ciberseguridad (P.E.)		Vespertino	Programa Especial	Tecnología	Profesional	Ingreso Directo	2019	República	5	Ingeniero en Ciberseguridad		I162S2C46J2V2	Pregrado	Presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	43934	Ingeniería en Computación e Informática y similares	Ingeniería en Ciberseguridad (P.E.)		Otro	Programa Especial	Tecnología	Profesional	No es Ingreso Directo	2020	República	5	Ingeniero en Ciberseguridad			Pregrado	No presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	38816	Ingeniería en Conectividad y Redes	Ingeniería en Conectividad y Redes		Otro	Programa Regular	Tecnología	Profesional	Ingreso Directo	2018	República	8	Ingeniero en Conectividad y Redes		I162S2C3J4V2	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	38817	Ingeniería en Computación e Informática y similares	Ingeniería en Informática		Otro	Programa Regular	Tecnología	Profesional	Ingreso Directo	2018	República	8	Ingeniero en Informática		I162S2C46J4V2	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	43932	Técnico Programador Computacional	TNS en Programación y Análisis de Sistemas		Otro	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2020	República	5	Técnico Nivel Sup. en Programación Computacional y Análisis de Sistemas		I162S2C57J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	43928	Ingeniería en Computación e Informática y similares	Ingeniería en Ciberseguridad		Otro	Programa Regular	Tecnología	Profesional	Ingreso Directo	2020	República	4	Ingeniero en Ciberseguridad		I162S2C46J4V3	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	38818	Ingeniería en Automatización, Control Industrial y similares	Ingeniero en Automatización y Control Industrial (P.E.)		Vespertino	Programa Especial	Tecnología	Profesional	Ingreso Directo	2018	República	4	Ingeniero en Automatización y Control Industrial		I162S2C22J2V2	Pregrado	Presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	40876	Ingeniería en Computación e Informática y similares	Ingeniería en Informática (P.E.)		Otro	Programa Especial	Tecnología	Profesional	Ingreso Directo	2019	República	4	Ingeniero en Informática		I162S2C1J4V2	Pregrado	No presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	43931	Técnico en Análisis de Sistemas Informáticos	TNS en Ciberseguridad		Otro	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2020	República	5	Técnico Nivel Sup. en Ciberseguridad		I162S2C47J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	40716	Ingeniería en Computación e Informática y similares	Ingeniería en Ciberseguridad (P.E.)		Vespertino	Programa Especial	Tecnología	Profesional	Ingreso Directo	2019	República	4	Ingeniero en Ciberseguridad		I162S2C46J2V3	Pregrado	Presencial	Continuidad (o articulación) de estudios
Santiago	Santiago	Región Metropolitana	7	48339	Ingeniería Ejecución Industrial y similares	Ingeniería en Automatización y Control Industrial	Eficiencia Energética	Otro	Programa Regular	Tecnología	Profesional	Ingreso Directo	2022	República	8	Ingeniero en Automatización y Control Industrial		I162S2C22J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	48338	Técnico en Automatización, Control automático y similares	TNS en Automatización y Control Industrial	Eficiencia Energética	Otro	Programa Regular	Tecnología	Técnico Nivel Superior	Ingreso Directo	2022	República	5	Técnico Nivel Sup. en Automatización y Control Industrial		I162S2C11J4V1	Pregrado	No presencial	Otro objetivo
Santiago	Santiago	Región Metropolitana	7	51505	Ingeniería en Administración, Administración de Empresas y similares	Ingeniería en Administración de Empresas		Otro	Programa Regular	Administración y Comercio	Profesional	Ingreso Directo	2024		8	Ingeniero en Administración de Empresas		I162S2C76J4V1	Pregrado	No presencial	Otro objetivo
